eventtime,ifo,peaktime,peaktimens,starttime,starttimens,duration,search,processid,eventid,peakfrequency,centralfreq,bandwidth,channel,amplitude,snr,confidence,chisq,chisqdof,paramonename,paramonevalue,gravityspyid,label,sampletype,url1,url2,url3,url4
1127443957.28564,H1,1127443957,285640001,1127443957,250000000,0.09375,Omicron,0121,276,75048828125,580.992065429688,942.413940429688,GDS-CALIB_STRAIN,2.83618997171042e-22,15.45934009552,0,0,0,phase,1.27028,folvDFqSEO,Blip,train,https://panoptes-uploads.zooniverse.org/production/subject_location/bc8d71b1-7622-4cab-b0af-9d7883f26c19.png,https://panoptes-uploads.zooniverse.org/production/subject_location/546819f0-bf4e-43e3-a128-99583bcff354.png,https://panoptes-uploads.zooniverse.org/production/subject_location/d1a25695-4ed0-4413-b03d-45bb68944db5.png,https://panoptes-uploads.zooniverse.org/production/subject_location/5ce93fce-62f6-4f0b-ab7a-d9fa9e9b7d80.png
eventtime,ifo,peaktime,peaktimens,starttime,starttimens,duration,search,processid,eventid,peakfrequency,centralfreq,bandwidth,channel,amplitude,snr,confidence,chisq,chisqdof,paramonename,paramonevalue,gravityspyid,label,sampletype,url1,url2,url3,url4
1127443957.28564,H1,1127443957,285640001,1127443957,250000000,0.09375,Omicron,0121,276,750.48828125,580.992065429688,942.413940429688,GDS-CALIB_STRAIN,2.83618997171042e-22,15.45934009552,0,0,0,phase,1.27028,folvDFqSEO,Blip,train,https://panoptes-uploads.zooniverse.org/production/subject_location/bc8d71b1-7622-4cab-b0af-9d7883f26c19.png,https://panoptes-uploads.zooniverse.org/production/subject_location/546819f0-bf4e-43e3-a128-99583bcff354.png,https://panoptes-uploads.zooniverse.org/production/subject_location/d1a25695-4ed0-4413-b03d-45bb68944db5.png,https://panoptes-uploads.zooniverse.org/production/subject_location/5ce93fce-62f6-4f0b-ab7a-d9fa9e9b7d80.png
1130696980.36426,H1,1130696980,364260000,1130696980,351562000,0.02344,Omicron,0161,37,711.48681640625,167.031005859375,249.398406982422,GDS-CALIB_STRAIN,6.32150026084258e-23,7.96514987945557,0,0,0,phase,-0.39974,jAetgQC19t,Blip,train,https://panoptes-uploads.zooniverse.org/production/subject_location/328fc877-9fe2-4f5b-adec-502f2c582a4f.png,https://panoptes-uploads.zooniverse.org/production/subject_location/d4678fd9-7fa3-4729-9676-2666832d9958.png,https://panoptes-uploads.zooniverse.org/production/subject_location/2216a158-6461-466b-a2f8-c114cec505ca.png,https://panoptes-uploads.zooniverse.org/production/subject_location/21f35824-f75f-435d-bb41-06142c211267.png
1127076770.41895,H1,1127076770,418945000,1127076770,410156000,0.04297,Omicron,0761,21,663.26904296875,121.323570251465,164.04899597168,GDS-CALIB_STRAIN,9.53229982916779e-23,7.60984992980957,0,0,0,phase,0.14572,KUYFIxShxB,Blip,train,https://panoptes-uploads.zooniverse.org/production/subject_location/001d507d-0918-45d3-b642-bbe4a39b5eae.png,https://panoptes-uploads.zooniverse.org/production/subject_location/b9620c8c-f775-48c4-90e7-af929b1b9fcb.png,https://panoptes-uploads.zooniverse.org/production/subject_location/72a29971-9b85-4cc7-ba33-aedfc249fceb.png,https://panoptes-uploads.zooniverse.org/production/subject_location/da31d5a4-52c5-493b-b3c2-6db8567ed717.png
1126882524.34155,H1,1126882524,341552000,1126882524,312500000,0.0625,Omicron,0281,417,400.390625,1233.12731933594,2320.67236328125,GDS-CALIB_STRAIN,2.76201003602225e-22,17.6972198486328,0,0,0,phase,2.48253,kaPCDjpT5,Blip,test,https://panoptes-uploads.zooniverse.org/production/subject_location/2382e34a-ef42-45bf-808a-2997fab17e7b.png,https://panoptes-uploads.zooniverse.org/production/subject_location/1e67d039-674e-4c24-ae24-5b8166c87565.png,https://panoptes-uploads.zooniverse.org/production/subject_location/3b66e30b-41a3-4437-9225-22eb76457d48.png,https://panoptes-uploads.zooniverse.org/production/subject_location/d29beb96-5b24-4464-997b-51e2748d3590.png
1132672442.17822,H1,1132672442,178220000,1132672442,937500000,0.21875,Omicron,0272,111,476.593017578125,539.358215332031,1034.22680664062,GDS-CALIB_STRAIN,2.5359300736506e-22,36.0430297851562,0,0,0,phase,0.94173,sEyEv3Kcqp,Blip,train,https://panoptes-uploads.zooniverse.org/production/subject_location/c0fc3140-4bd3-4e29-9ddf-e3061e3bb126.png,https://panoptes-uploads.zooniverse.org/production/subject_location/d8b0c16e-0d7e-4510-819f-433b472c3468.png,https://panoptes-uploads.zooniverse.org/production/subject_location/f7e06331-8b8a-4cac-8aa7-a0f88aa9d9a7.png,https://panoptes-uploads.zooniverse.org/production/subject_location/2a2f4564-18d5-4a04-9a50-ce898086fc21.png
1136394124.87207,H1,1136394124,872070000,1136394124,812500000,0.1875,Omicron,0441,70,653.900146484375,70.2110290527344,635.505798339844,GDS-CALIB_STRAIN,1.13388998493845e-22,15.0301198959351,0,0,0,phase,-0.70214,dxqRBv2Efz,Blip,validation,https://panoptes-uploads.zooniverse.org/production/subject_location/db3e26a2-349b-4a23-a077-c0d88a08da68.png,https://panoptes-uploads.zooniverse.org/production/subject_location/a1f21ec6-17f8-4709-a112-d09b7b851109.png,https://panoptes-uploads.zooniverse.org/production/subject_location/2d366058-bf76-48ae-b3a6-c81ea2cf1564.png,https://panoptes-uploads.zooniverse.org/production/subject_location/ff19fdb5-8a60-4cd9-99eb-871ac3b5cbda.png
1130699201.71728,H1,1130699201,717284000,1130699201,625000000,0.25,Omicron,0172,262,64.605712890625,443.347137451172,818.373840332031,GDS-CALIB_STRAIN,4.42080024179458e-22,27.1691799163818,0,0,0,phase,0.5322,z8qbuZFilL,Blip,train,https://panoptes-uploads.zooniverse.org/production/subject_location/522b44e0-a14b-4738-a749-50fe46bff0cc.png,https://panoptes-uploads.zooniverse.org/production/subject_location/520a04b8-29e9-43bc-aea6-48fc9bd736d4.png,https://panoptes-uploads.zooniverse.org/production/subject_location/b3551102-273d-47f8-85de-ef27304841d9.png,https://panoptes-uploads.zooniverse.org/production/subject_location/80a8284c-ca98-4583-b4a3-53bf88e71272.png
1127984058.11206,H1,1127984058,112060000,1127984058,312500000,0.21875,Omicron,0792,6629,531.25,1212.73168945312,2361.46337890625,GDS-CALIB_STRAIN,2.15810997723462e-21,40.1958999633789,0,0,0,phase,0.16398,dksFxw9goV,Blip,train,https://panoptes-uploads.zooniverse.org/production/subject_location/f799e888-d223-47de-853b-5b49d3cc159c.png,https://panoptes-uploads.zooniverse.org/production/subject_location/35901e0d-4b26-4ae4-bfa8-2259980d8ff7.png,https://panoptes-uploads.zooniverse.org/production/subject_location/a51a7666-4d7f-4781-b8dc-034742dc25ec.png,https://panoptes-uploads.zooniverse.org/production/subject_location/e66051e7-42d4-45d1-9fac-d2369d88ac79.png
