GGWB-CARTOGRAPHER FULL GEOMETRIC DATASET
EVENT GPS: 1186741861.5
========================================
Parameter 01 (Geometric): Value_0.6395
Parameter 02 (Geometric): Value_1.2911
Parameter 03 (Geometric): Value_2.7013
Parameter 04 (Geometric): Value_0.6208
Parameter 05 (Geometric): Value_2.6144
Parameter 06 (Geometric): Value_4.7609
Parameter 07 (Geometric): Value_0.4174
Parameter 08 (Geometric): Value_5.0587
Parameter 09 (Geometric): Value_0.8114
Parameter 10 (Geometric): Value_2.7397
Parameter 11 (Geometric): Value_9.0700
Parameter 12 (Geometric): Value_7.8682
Parameter 13 (Geometric): Value_0.9701
Parameter 14 (Geometric): Value_12.5116
Parameter 15 (Geometric): Value_7.0711
Parameter 16 (Geometric): Value_3.2392
Parameter 17 (Geometric): Value_15.0692
Parameter 18 (Geometric): Value_11.9262
Parameter 19 (Geometric): Value_14.0088
Parameter 20 (Geometric): Value_5.4006
Parameter 21 (Geometric): Value_19.8828
Parameter 22 (Geometric): Value_7.9227
Parameter 23 (Geometric): Value_14.4034
Parameter 24 (Geometric): Value_18.3256
Parameter 25 (Geometric): Value_12.3117
Parameter 26 (Geometric): Value_0.2427
Parameter 27 (Geometric): Value_23.5963
Parameter 28 (Geometric): Value_1.4455
Parameter 29 (Geometric): Value_1.0148
Parameter 30 (Geometric): Value_16.5898
Parameter 31 (Geometric): Value_15.7679
Parameter 32 (Geometric): Value_11.6976
Parameter 33 (Geometric): Value_5.7269
Parameter 34 (Geometric): Value_31.2326
Parameter 35 (Geometric): Value_5.8444
Parameter 36 (Geometric): Value_25.8265
Parameter 37 (Geometric): Value_5.6649
Parameter 38 (Geometric): Value_31.4207
Parameter 39 (Geometric): Value_26.0349
Parameter 40 (Geometric): Value_13.5590
Parameter 41 (Geometric): Value_6.3912
Parameter 42 (Geometric): Value_38.0347
Parameter 43 (Geometric): Value_18.2279
Parameter 44 (Geometric): Value_40.4663
Parameter 45 (Geometric): Value_29.9447
Parameter 46 (Geometric): Value_20.0589
Parameter 47 (Geometric): Value_16.3743
Parameter 48 (Geometric): Value_26.2955
Parameter 49 (Geometric): Value_31.4724
Parameter 50 (Geometric): Value_43.8276
Parameter 51 (Geometric): Value_41.7641
Parameter 52 (Geometric): Value_8.0610
Parameter 53 (Geometric): Value_29.3282
Parameter 54 (Geometric): Value_32.6394
Parameter 55 (Geometric): Value_21.5475
Parameter 56 (Geometric): Value_22.2176
Parameter 57 (Geometric): Value_52.3253
Parameter 58 (Geometric): Value_47.0801
Parameter 59 (Geometric): Value_18.9220
Parameter 60 (Geometric): Value_33.7924
Parameter 61 (Geometric): Value_21.6977
Parameter 62 (Geometric): Value_45.9644
Parameter 63 (Geometric): Value_49.7149
Parameter 64 (Geometric): Value_38.5036
Parameter 65 (Geometric): Value_20.6253
Parameter 66 (Geometric): Value_61.9038
Parameter 67 (Geometric): Value_49.3123
Parameter 68 (Geometric): Value_35.7943
Parameter 69 (Geometric): Value_33.5171
Parameter 70 (Geometric): Value_55.6985
Parameter 71 (Geometric): Value_31.1382
Parameter 72 (Geometric): Value_7.7104
Parameter 73 (Geometric): Value_37.3230
Parameter 74 (Geometric): Value_25.3833
Parameter 75 (Geometric): Value_14.3894
Parameter 76 (Geometric): Value_66.2577
Parameter 77 (Geometric): Value_49.3690
Parameter 78 (Geometric): Value_28.6525
Parameter 79 (Geometric): Value_26.9046
Parameter 80 (Geometric): Value_51.1403
Parameter 81 (Geometric): Value_51.6908
Parameter 82 (Geometric): Value_73.8251
Parameter 83 (Geometric): Value_35.7869
Parameter 84 (Geometric): Value_23.5389
Parameter 85 (Geometric): Value_12.2020
Parameter 86 (Geometric): Value_55.5479
Parameter 87 (Geometric): Value_65.1526
Parameter 88 (Geometric): Value_54.0458
Parameter 89 (Geometric): Value_50.3634
Parameter 90 (Geometric): Value_57.6579
Parameter 91 (Geometric): Value_74.0917
Parameter 92 (Geometric): Value_50.5562
