mystery_glitch_1.png: Helix
mystery_glitch_2.png: Koi_Fish
mystery_glitch_3.png: Blip
mystery_glitch_4.png: Koi_Fish
mystery_glitch_5.png: Scattered_Light
mystery_glitch_6.png: Light_Modulation
mystery_glitch_7.png: Scratchy
mystery_glitch_8.png: No_Glitch
mystery_glitch_9.png: Whistle
mystery_glitch_10.png: Koi_Fish
mystery_glitch_11.png: Power_Line
mystery_glitch_12.png: Power_Line
mystery_glitch_13.png: Blip
mystery_glitch_14.png: Power_Line
mystery_glitch_15.png: Blip
mystery_glitch_16.png: Wandering_Line
mystery_glitch_17.png: Scratchy
mystery_glitch_18.png: Light_Modulation
mystery_glitch_19.png: No_Glitch
mystery_glitch_20.png: Koi_Fish
